"","inflation_2019","player_name","salary","TEAM","AGE","HEIGHT","WEIGHT","COLLEGE","COUNTRY","DRAFT.YEAR","DRAFT.ROUND","DRAFT.NUMBER","NETRTG","player_id","Pos","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PS.G","Tax"
"17",2.5,"Chris Bosh",26837720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18",2.5,"Jrue Holiday",26131111,"NOP","28","6'4""","205","UCLA","USA","2009","1","17","5.4","player_2019","SG",29,29,36.7,7.9,16.4,0.478,1.4,4.8,0.3,6.4,11.6,0.552,0.522,3.3,4.4,0.764,1.1,3.2,4.3,8.8,1.8,0.7,3.8,2.4,20.5,"6%"
"19",2.5,"Otto Porter",26011913,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"player_2019","SF",25,25,29.5,4.6,9.5,0.487,1.4,3.8,0.368,3.2,5.7,0.566,0.561,1,1.3,0.781,1,4.7,5.6,2,1.5,0.6,0.9,1.5,11.7,NA
"20",2.5,"CJ McCollum",25759766,"POR","27","6'3""","190","Lehigh","USA","2013","1","10","3.4","player_2019","SG",26,26,34.5,8.4,18,0.465,2.1,6,0.353,6.3,12,0.521,0.523,2.4,2.9,0.829,1,2.8,3.8,2.5,0.8,0.3,1.7,2.5,21.3,"9.90%"
"21",2.5,"Nikola Jokic",25467250,"DEN","23","7'0""","250","None","Serbia","2014","2","41","7.2","player_2019","C",27,27,30.4,6.2,13,0.477,1,3.4,0.29,5.2,9.6,0.544,0.516,3.7,4.4,0.832,2.5,7.3,9.8,7.6,1.4,0.7,2.7,3,17.1,"4.63%"
"22",2.5,"Joel Embiid",25467250,"PHI","24","7'0""","250","Kansas","Cameroon","2014","1","3","7.2","player_2019","C",27,27,34.3,8.5,18.5,0.459,1.2,4.1,0.288,7.3,14.4,0.508,0.491,8.1,10.3,0.791,2.2,10.9,13.1,3.6,0.5,2,3.1,3.4,26.3,"3.07%"
"23",2.5,"Andrew Wiggins",25467250,"MIN","23","6'8""","194","Kansas","Canada","2014","1","1","0.2","player_2019","SF",23,23,33,6,15.3,0.392,1.9,5,0.371,4.1,10.3,0.403,0.453,2.1,3,0.721,0.7,3.2,3.9,2.2,1.3,0.7,1.7,2,16,"9.85%"
"24",2.5,"Anthony Davis",25434263,"NOP","25","6'10""","253","Kentucky","USA","2012","1","1","5.1","player_2019","C",25,25,36.8,9.8,19.6,0.502,0.8,2.6,0.308,9,17,0.532,0.522,7,8.6,0.809,3.2,8.9,12.2,4.8,1.7,2.8,2.3,2.6,27.4,"6%"
"25",2.5,"Andre Drummond",25434262,"DET","25","6'11""","279","Connecticut","USA","2012","1","9","-1","player_2019","C",25,25,33,7.8,15.2,0.509,0.1,0.8,0.15,7.6,14.4,0.529,0.513,2.8,5.5,0.5,6,9.5,15.5,1.3,1.4,1.7,2.5,3.6,18.4,"4.25%"
"26",2.5,"Bradley Beal",25434262,"WAS","25","6'5""","207","Florida","USA","2012","1","3","-3.1","player_2019","SG",27,27,35.7,8.4,18,0.466,2.3,6.9,0.33,6.1,11.1,0.55,0.529,3.9,5,0.778,0.6,3.7,4.3,4.3,1.1,1,2.3,3.1,22.9,"8.95%"
"27",2.5,"Hassan Whiteside",24434262,"MIA","29","7'0""","265","Marshall","USA","2010","2","33","0.1","player_2019","C",22,22,26.9,5.6,10.7,0.523,0.1,0.5,0.167,5.5,10.1,0.543,0.528,2.3,4.8,0.472,4.1,9.5,13.7,0.8,0.6,2.9,1.7,3.1,13.5,"0%"
