"","name","salary","team","height(ft)","weight(lb)","school","country","draft_year","draft_round","draft_number","+/-","player_year","position","age","games","started","mins/game","field_goal","field_goal_attempt","3_game","3_att","2_game","2_att","freethrows","free_throw_attempt","o_rebound","d_rebound","t_rebound","assist","steal","block","turnover","fouls","ppg","infl","mvp","mip","6_man","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","fg_per","two_per","efg","three_per","free_per"
"718","Lucas Nogueira"," 2947304","TOR","7'0""","220","None","Brazil","2013","1","16","   9.6","2018","C","25","49"," 3","   8.5","  1.0","  1.6","  0.1","  0.4","  0.9","  1.2","  0.4","  0.6"," 0.4","  1.4","  1.8","  0.4"," 0.5"," 0.9","  0.3","  1.0","  2.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.625000000000","0.750000000000","0.656250000000","0.250000000000","0.66666666667"
"719","Malik Monk"," 2904480","CHA","6'3""","200","Kentucky","USA","2017","1","11"," -11.4","2018","SG","19","63"," 0","  13.6","  2.4","  6.7","  1.3","  3.9","  1.1","  2.9","  0.5","  0.6"," 0.1","  0.9","  1.0","  1.4"," 0.3"," 0.1","  0.8","  1.0","  6.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.358208955224","0.379310344828","0.455223880597","0.333333333333","0.83333333333"
"720","Frank Kaminsky"," 2847600","CHA","7'0""","242","Wisconsin","USA","2015","1","9","  -2.3","2018","PF","24","79"," 4","  23.2","  3.9","  9.1","  1.3","  3.5","  2.6","  5.6","  2.0","  2.5"," 0.6","  3.1","  3.6","  1.6"," 0.5"," 0.2","  0.8","  1.2"," 11.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.428571428571","0.464285714286","0.500000000000","0.371428571429","0.80000000000"
"721","Jakob Poeltl"," 2825640","TOR","7'0""","230","Utah","Austria","2016","1","9","   8.1","2018","C","22","82"," 0","  18.6","  3.1","  4.7","  0.0","  0.0","  3.1","  4.7","  0.7","  1.2"," 2.0","  2.8","  4.8","  0.7"," 0.5"," 1.2","  1.0","  2.6","  6.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.659574468085","0.659574468085","0.659574468085","           NaN","0.58333333333"
"722","Luke Kennard"," 2759280","DET","6'5""","200","Duke","USA","2017","1","12","   3.9","2018","SG","21","73"," 9","  20.0","  2.8","  6.4","  1.1","  2.7","  1.7","  3.7","  0.9","  1.0"," 0.3","  2.1","  2.4","  1.7"," 0.6"," 0.2","  0.9","  1.2","  7.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.437500000000","0.459459459459","0.523437500000","0.407407407407","0.90000000000"
"723","Justise Winslow"," 2705040","MIA","6'7""","225","Duke","USA","2015","1","10","   0.5","2018","PF","21","68","25","  24.7","  3.0","  7.2","  0.7","  1.9","  2.3","  5.3","  1.0","  1.5"," 0.9","  4.5","  5.4","  2.2"," 0.8"," 0.5","  1.1","  2.1","  7.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.416666666667","0.433962264151","0.465277777778","0.368421052632","0.66666666667"
"724","Michael Carter-Williams"," 2700000","CHA","6'6","190","Syracuse","USA","2013","1","11","  -3.2","2018","PG","26","52"," 2","  16.1","  1.5","  4.4","  0.3","  1.1","  1.2","  3.3","  1.4","  1.7"," 0.7","  1.9","  2.7","  2.2"," 0.8"," 0.4","  1.0","  1.9","  4.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.340909090909","0.363636363636","0.375000000000","0.272727272727","0.82352941176"
"725","Cedi Osman"," 2642857","CLE","6'8""","215","None","Turkey","2015","2","31","   2.7","2018","SF","22","61","12","  11.0","  1.5","  3.0","  0.5","  1.4","  1.0","  1.6","  0.4","  0.8"," 0.3","  1.7","  2.0","  0.7"," 0.4"," 0.0","  0.5","  1.3","  3.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.500000000000","0.625000000000","0.583333333333","0.357142857143","0.50000000000"
"726","Donovan Mitchell"," 2621280","UTA","6'3""","215","Louisville","USA","2017","1","13","   6.7","2018","SG","21","79","71","  33.4","  7.5"," 17.2","  2.4","  7.0","  5.2"," 10.3","  3.0","  3.8"," 0.7","  3.1","  3.7","  3.7"," 1.5"," 0.3","  2.7","  2.7"," 20.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.436046511628","0.504854368932","0.505813953488","0.342857142857","0.78947368421"
"727","Gary Harris"," 2550055","DEN","6'4""","210","Michigan State","USA","2014","1","19","   3.6","2018","SG","23","67","65","  34.4","  6.6"," 13.6","  2.3","  5.9","  4.2","  7.7","  2.0","  2.4"," 0.6","  2.1","  2.6","  2.9"," 1.8"," 0.2","  1.8","  1.8"," 17.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.485294117647","0.545454545455","0.569852941176","0.389830508475","0.83333333333"
"728","Domantas Sabonis"," 2550000","IND","6'10""","252","Gonzaga","Lithuania","2016","1","11","   0.9","2018","C","21","74","19","  24.5","  4.6","  8.9","  0.2","  0.5","  4.4","  8.4","  2.3","  3.0"," 2.2","  5.5","  7.7","  2.0"," 0.5"," 0.4","  1.9","  3.0"," 11.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.516853932584","0.523809523810","0.528089887640","0.400000000000","0.76666666667"
"729","Derrick Rose"," 2533488","MIN","6'3""","190","Memphis","USA","2008","1","1","  -7.0","2018","PG","29","25"," 7","  16.8","  3.2","  7.4","  0.3","  1.2","  3.0","  6.2","  1.6","  1.8"," 0.5","  0.9","  1.4","  1.5"," 0.3"," 0.2","  1.4","  0.6","  8.4"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.432432432432","0.483870967742","0.452702702703","0.250000000000","0.88888888889"
"730","Malcolm Delaney"," 2500000","ATL","6'3""","190","Virginia Tech","USA","Undrafted","Undrafted","Undrafted","  -5.0","2018","PG","28","54"," 3","  18.8","  2.0","  5.3","  0.9","  2.3","  1.2","  3.0","  1.4","  1.7"," 0.2","  1.7","  1.9","  3.0"," 0.6"," 0.1","  1.2","  1.5","  6.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.377358490566","0.400000000000","0.462264150943","0.391304347826","0.82352941176"
"731","Reggie Bullock"," 2500000","DET","6'7""","205","North Carolina","USA","2013","1","25","   0.6","2018","SF","26","62","52","  27.9","  4.3","  8.8","  2.0","  4.5","  2.3","  4.3","  0.6","  0.8"," 0.4","  2.0","  2.5","  1.5"," 0.8"," 0.2","  0.8","  1.1"," 11.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.488636363636","0.534883720930","0.602272727273","0.444444444444","0.75000000000"
"732","Manu Ginobili"," 2500000","SAS","6'6","205","None","Argentina","1999","2","57","   1.6","2018","SG","40","65"," 0","  20.0","  3.1","  7.1","  1.0","  3.0","  2.1","  4.2","  1.7","  2.0"," 0.3","  1.9","  2.2","  2.5"," 0.7"," 0.2","  1.6","  1.9","  8.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.436619718310","0.500000000000","0.507042253521","0.333333333333","0.85000000000"
"733","Bam Adebayo"," 2490360","MIA","6'10""","255","Kentucky","USA","2017","1","14","  -1.2","2018","C","20","69","19","  19.8","  2.5","  4.9","  0.0","  0.1","  2.5","  4.8","  1.9","  2.6"," 1.7","  3.8","  5.5","  1.5"," 0.5"," 0.6","  1.0","  2.0","  6.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.510204081633","0.520833333333","0.510204081633","0.000000000000","0.73076923077"
"734","Georgios Papagiannis"," 2486757","POR","7'1""","240","None","Greece","2016","1","13","  -3.7","2018","C","20","17"," 0","   7.2","  1.1","  2.5","  0.0","  0.0","  1.1","  2.5","  0.0","  0.0"," 0.8","  1.4","  2.2","  0.5"," 0.2"," 0.4","  0.5","  0.7","  2.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.440000000000","0.440000000000","0.440000000000","           NaN","          NaN"
"735","Myles Turner"," 2483040","IND","6'11""","255","Texas","USA","2015","1","11","   3.1","2018","C","21","65","62","  28.2","  4.7","  9.8","  0.9","  2.4","  3.8","  7.4","  2.5","  3.2"," 1.4","  5.0","  6.4","  1.3"," 0.6"," 1.8","  1.5","  2.9"," 12.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.479591836735","0.513513513514","0.525510204082","0.375000000000","0.78125000000"
"736","Bruno Caboclo"," 2451224","SAC","6'9""","205","None","Brazil","2014","1","20","   2.9","2018","SF","22","12"," 0","   8.9","  0.8","  2.6","  0.3","  1.4","  0.5","  1.2","  0.4","  0.5"," 0.6","  1.3","  1.8","  0.3"," 0.3"," 0.3","  0.3","  0.7","  2.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.307692307692","0.416666666667","0.365384615385","0.214285714286","0.80000000000"
"737","Trey Lyles"," 2441400","DEN","6'10""","234","Kentucky","USA","2015","1","12","  -0.2","2018","PF","22","73"," 2","  19.1","  3.7","  7.5","  1.1","  3.0","  2.6","  4.5","  1.4","  2.0"," 0.8","  4.0","  4.8","  1.2"," 0.4"," 0.5","  0.8","  1.5","  9.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.493333333333","0.577777777778","0.566666666667","0.366666666667","0.70000000000"
"738","Dario Saric"," 2422560","PHI","6'10""","223","None","Croatia","2014","1","12","   6.3","2018","PF","23","78","73","  29.6","  5.2"," 11.4","  2.0","  5.1","  3.2","  6.3","  2.3","  2.7"," 2.0","  4.7","  6.7","  2.6"," 0.7"," 0.3","  1.9","  2.1"," 14.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","0.456140350877","0.507936507937","0.543859649123","0.392156862745","0.85185185185"
"739","Rodney Hood"," 2386864","CLE","6'8""","206","Duke","USA","2014","1","23","  -2.3","2018","SG","25","60","23","  26.9","  5.4"," 12.5","  2.1","  5.6","  3.3","  7.0","  1.9","  2.2"," 0.4","  2.4","  2.8","  1.6"," 0.8"," 0.2","  1.2","  1.8"," 14.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.432000000000","0.471428571429","0.516000000000","0.375000000000","0.86363636364"
"740","Justin Jackson"," 2365560","SAC","6'8""","210","North Carolina","USA","2017","1","15","  -7.6","2018","SF","22","68","41","  22.1","  2.7","  6.2","  0.8","  2.7","  1.9","  3.4","  0.4","  0.5"," 0.4","  2.4","  2.8","  1.1"," 0.4"," 0.2","  0.6","  1.2","  6.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.435483870968","0.558823529412","0.500000000000","0.296296296296","0.80000000000"
"741","Shabazz Napier"," 2361359","POR","6'1""","175","Connecticut","USA","2014","1","24","   2.1","2018","PG","26","74","10","  20.7","  3.0","  7.2","  1.1","  2.9","  1.9","  4.2","  1.6","  1.9"," 0.4","  1.9","  2.3","  2.0"," 1.1"," 0.2","  1.2","  1.1","  8.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.416666666667","0.452380952381","0.493055555556","0.379310344828","0.84210526316"
"742","Rashad Vaughn"," 2338653","ORL","6'6","202","UNLV","USA","2015","1","17","  -0.8","2018","SG","21","28"," 0","   7.6","  0.8","  2.0","  0.5","  1.3","  0.3","  0.7","  0.1","  0.2"," 0.1","  0.6","  0.8","  0.5"," 0.2"," 0.1","  0.2","  0.5","  2.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.400000000000","0.428571428571","0.525000000000","0.384615384615","0.50000000000"
"743","Clint Capela"," 2334528","HOU","6'10""","240","None","Switzerland","2014","1","25","   9.3","2018","C","23","74","74","  27.5","  6.0","  9.1","  0.0","  0.0","  6.0","  9.1","  1.9","  3.5"," 3.3","  7.6"," 10.8","  0.9"," 0.8"," 1.9","  1.4","  2.5"," 13.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.659340659341","0.659340659341","0.659340659341","           NaN","0.54285714286"
"744","Jose Calderon"," 2328652","CLE","6'3""","200","None","Spain","Undrafted","Undrafted","Undrafted","   2.5","2018","PG","36","57","32","  16.0","  1.6","  3.2","  0.8","  1.7","  0.8","  1.5","  0.4","  0.5"," 0.2","  1.2","  1.5","  2.1"," 0.5"," 0.0","  0.7","  1.4","  4.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.500000000000","0.533333333333","0.625000000000","0.470588235294","0.80000000000"
"745","David West"," 2328652","GSW","6'9""","250","Xavier","USA","2003","1","18","   1.5","2018","C","37","73"," 0","  13.7","  3.0","  5.2","  0.0","  0.1","  2.9","  5.1","  0.8","  1.1"," 0.9","  2.4","  3.3","  1.9"," 0.6"," 1.0","  1.1","  1.6","  6.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.576923076923","0.568627450980","0.576923076923","0.000000000000","0.72727272727"
"746","Udonis Haslem"," 2328652","MIA","6'8""","235","Florida","USA","Undrafted","Undrafted","Undrafted","  -0.2","2018","C","37","14"," 0","   5.1","  0.2","  1.1","  0.1","  0.6","  0.1","  0.5","  0.1","  0.1"," 0.2","  0.5","  0.7","  0.4"," 0.0"," 0.1","  0.1","  0.2","  0.6"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.181818181818","0.200000000000","0.227272727273","0.166666666667","1.00000000000"
"747","Jason Terry"," 2328652","MIL","6'2""","185","Arizona","USA","1999","1","10","   0.9","2018","SG","40","51"," 4","  16.0","  1.2","  3.0","  0.8","  2.3","  0.4","  0.8","  0.2","  0.2"," 0.1","  0.8","  0.9","  1.2"," 0.8"," 0.3","  0.5","  1.0","  3.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.400000000000","0.500000000000","0.533333333333","0.347826086957","1.00000000000"
"748","Jarrett Jack"," 2328652","NYK","6'3""","200","Georgia Tech","USA","2005","1","22","  -0.8","2018","PG","34","62","56","  25.0","  3.0","  7.1","  0.4","  1.4","  2.6","  5.8","  1.0","  1.2"," 0.4","  2.7","  3.1","  5.6"," 0.6"," 0.1","  1.9","  1.6","  7.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.422535211268","0.448275862069","0.450704225352","0.285714285714","0.83333333333"
"749","Raymond Felton"," 2328652","OKC","6'1""","205","North Carolina","USA","2005","1","5","  -1.9","2018","PG","33","82"," 2","  16.6","  2.7","  6.7","  1.0","  2.8","  1.7","  3.9","  0.4","  0.5"," 0.3","  1.6","  1.9","  2.5"," 0.6"," 0.2","  0.9","  1.1","  6.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.402985074627","0.435897435897","0.477611940299","0.357142857143","0.80000000000"
"750","Nick Collison"," 2328652","OKC","6'10""","255","Kansas","USA","2003","1","12","  -4.4","2018","PF","37","15"," 0","   5.0","  0.9","  1.3","  0.0","  0.0","  0.9","  1.3","  0.3","  0.9"," 0.5","  0.9","  1.3","  0.3"," 0.0"," 0.0","  0.5","  0.5","  2.1"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.692307692308","0.692307692308","0.692307692308","           NaN","0.33333333333"
"751","Devin Booker"," 2319360","PHX","6'6","210","Kentucky","USA","2015","1","13","  -9.0","2018","SG","21","54","54","  34.5","  8.4"," 19.5","  2.7","  7.1","  5.7"," 12.4","  5.4","  6.1"," 0.5","  4.0","  4.5","  4.7"," 0.9"," 0.3","  3.6","  3.1"," 24.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.430769230769","0.459677419355","0.500000000000","0.380281690141","0.88524590164"
"752","Dante Cunningham"," 2300000","BKN","6'8""","230","Villanova","USA","2009","2","33","  -1.7","2018","SF","30","73","25","  21.4","  2.2","  5.0","  0.8","  2.3","  1.5","  2.7","  0.4","  0.7"," 1.1","  3.0","  4.1","  0.7"," 0.5"," 0.4","  0.5","  1.5","  5.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.440000000000","0.555555555556","0.520000000000","0.347826086957","0.57142857143"
"753","Guerschon Yabusele"," 2247480","BOS","6'8""","260","None","France","2016","1","16","  -1.4","2018","PF","22","33"," 4","   7.1","  0.8","  1.8","  0.4","  1.1","  0.4","  0.7","  0.5","  0.7"," 0.5","  1.1","  1.6","  0.5"," 0.1"," 0.2","  0.4","  0.7","  2.4"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.444444444444","0.571428571429","0.555555555556","0.363636363636","0.71428571429"
"754","Justin Patton"," 2247480","MIN","7'0""","236","Creighton","USA","2017","1","16","  30.0","2018","C","20"," 1"," 0","   4.0","  1.0","  2.0","  0.0","  0.0","  1.0","  2.0","  0.0","  0.0"," 0.0","  0.0","  0.0","  0.0"," 1.0"," 0.0","  0.0","  1.0","  2.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.500000000000","0.500000000000","0.500000000000","           NaN","          NaN"
"755","Cameron Payne"," 2203440","CHI","6'3""","185","Murray State","USA","2015","1","14","  -7.8","2018","PG","23","25","14","  23.3","  3.5","  8.6","  1.4","  3.6","  2.1","  5.0","  0.5","  0.6"," 0.7","  2.0","  2.8","  4.5"," 1.0"," 0.4","  1.4","  1.8","  8.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.406976744186","0.420000000000","0.488372093023","0.388888888889","0.83333333333"
"756","Denzel Valentine"," 2186400","CHI","6'6","214","Michigan State","USA","2016","1","14","  -6.6","2018","SG","24","77","37","  27.2","  3.9","  9.4","  1.9","  4.8","  2.1","  4.6","  0.5","  0.7"," 0.6","  4.5","  5.1","  3.2"," 0.8"," 0.1","  1.3","  2.4"," 10.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.414893617021","0.456521739130","0.515957446809","0.395833333333","0.71428571429"
"757","Kyle Anderson"," 2151704","SAS","6'9""","230","UCLA","USA","2014","1","30","   2.7","2018","SF","24","74","67","  26.7","  3.1","  5.9","  0.3","  0.8","  2.9","  5.1","  1.4","  2.0"," 1.1","  4.2","  5.4","  2.7"," 1.6"," 0.8","  1.3","  1.5","  7.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.525423728814","0.568627450980","0.550847457627","0.375000000000","0.70000000000"
"758","DJ Wilson"," 2135040","MIL","6'10""","236","Michigan","USA","2017","1","17"," -28.4","2018","PF","21","22"," 0","   3.2","  0.4","  0.7","  0.1","  0.2","  0.3","  0.5","  0.0","  0.1"," 0.1","  0.4","  0.5","  0.1"," 0.1"," 0.0","  0.2","  0.3","  1.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.571428571429","0.600000000000","0.642857142857","0.500000000000","0.00000000000"
"759","Jeff Green"," 2116955","CLE","6'9""","235","Georgetown","USA","2007","1","5","   3.0","2018","PF","31","78","13","  23.4","  3.8","  7.9","  0.7","  2.2","  3.1","  5.7","  2.6","  3.0"," 0.8","  2.4","  3.2","  1.3"," 0.5"," 0.4","  1.0","  1.9"," 10.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.481012658228","0.543859649123","0.525316455696","0.318181818182","0.86666666667"
"760","JaVale McGee"," 2116955","GSW","7'0""","270","Nevada","USA","2008","1","18","   2.6","2018","C","30","65","17","   9.5","  2.1","  3.4","  0.0","  0.1","  2.1","  3.3","  0.6","  0.8"," 0.9","  1.7","  2.6","  0.5"," 0.3"," 0.9","  0.4","  1.4","  4.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.617647058824","0.636363636364","0.617647058824","0.000000000000","0.75000000000"
"761","Luc Mbah a Moute"," 2116955","HOU","6'8""","230","UCLA","Cameroon","2008","2","37","   9.6","2018","PF","31","61","15","  25.6","  2.7","  5.7","  1.0","  2.8","  1.7","  2.8","  1.1","  1.6"," 0.4","  2.7","  3.0","  0.9"," 1.2"," 0.4","  1.1","  1.6","  7.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.473684210526","0.607142857143","0.561403508772","0.357142857143","0.68750000000"
"762","Aaron Brooks"," 2116955","MIN","6'0""","161","Oregon","USA","2007","1","26"," -18.7","2018","PG","33","32"," 1","   5.9","  0.9","  2.2","  0.3","  1.0","  0.5","  1.2","  0.3","  0.3"," 0.2","  0.3","  0.5","  0.6"," 0.2"," 0.0","  0.3","  0.9","  2.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.409090909091","0.416666666667","0.477272727273","0.300000000000","1.00000000000"
"763","Michael Beasley"," 2116955","NYK","6'9""","235","Kansas State","USA","2008","1","2","  -4.3","2018","PF","29","74","30","  22.3","  5.5"," 10.9","  0.5","  1.2","  5.1","  9.7","  1.7","  2.1"," 1.3","  4.3","  5.6","  1.7"," 0.5"," 0.6","  1.9","  2.0"," 13.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.504587155963","0.525773195876","0.527522935780","0.416666666667","0.80952380952"
"764","Marreese Speights"," 2116955","ORL","6'10""","255","Florida","USA","2008","1","16","   1.0","2018","C","30","52"," 3","  13.0","  2.7","  6.7","  1.7","  4.5","  1.0","  2.2","  0.8","  1.1"," 0.4","  2.2","  2.6","  0.8"," 0.2"," 0.4","  0.8","  2.0","  7.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.402985074627","0.454545454545","0.529850746269","0.377777777778","0.72727272727"
"765","Omri Casspi"," 2106470","GSW","6'9""","225","None","Israel","2009","1","23","   2.8","2018","SF","29","53"," 7","  14.0","  2.3","  3.9","  0.2","  0.4","  2.1","  3.5","  0.9","  1.3"," 0.6","  3.2","  3.8","  1.0"," 0.3"," 0.4","  0.7","  1.3","  5.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.589743589744","0.600000000000","0.615384615385","0.500000000000","0.69230769231"
"766","Mario Chalmers"," 2106407","MEM","6'2""","190","Kansas","USA","2008","2","34","  -2.2","2018","PG","31","66","10","  21.5","  2.5","  6.7","  0.8","  2.9","  1.7","  3.8","  1.8","  2.1"," 0.2","  2.2","  2.4","  3.0"," 1.2"," 0.2","  1.8","  2.7","  7.7"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.373134328358","0.447368421053","0.432835820896","0.275862068966","0.85714285714"
"767","Darius Miller"," 2100000","NOP","6'8""","225","Kentucky","USA","2012","2","46","  -0.6","2018","SF","27","82"," 3","  23.7","  2.6","  5.9","  1.8","  4.4","  0.8","  1.6","  0.7","  0.8"," 0.2","  1.8","  2.0","  1.4"," 0.3"," 0.2","  0.7","  2.0","  7.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.440677966102","0.500000000000","0.593220338983","0.409090909091","0.87500000000"
"768","Kelly Oubre Jr"," 2093040","WAS","6'7""","205","Kansas","USA","2015","1","15","  -2.5","2018","SF","22","81","11","  27.5","  3.9","  9.8","  1.6","  4.6","  2.4","  5.2","  2.4","  2.9"," 0.7","  3.8","  4.5","  1.2"," 1.0"," 0.4","  1.1","  2.9"," 11.8"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.397959183673","0.461538461538","0.479591836735","0.347826086957","0.82758620690"
"769","TJ Leaf"," 2028360","IND","6'10""","230","California-Los Angeles","USA","2017","1","18"," -11.3","2018","PF","20","53"," 0","   8.7","  1.2","  2.6","  0.3","  0.8","  0.9","  1.8","  0.2","  0.3"," 0.5","  1.0","  1.5","  0.2"," 0.1"," 0.1","  0.2","  0.8","  2.9"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.461538461538","0.500000000000","0.519230769231","0.375000000000","0.66666666667"
"770","Tim Frazier"," 2000000","WAS","6'1""","170","None","USA","Undrafted","Undrafted","Undrafted","  -5.5","2018","PG","27","59","11","  14.2","  1.2","  2.9","  0.3","  0.9","  0.9","  2.0","  0.4","  0.5"," 0.3","  1.6","  1.9","  3.3"," 0.8"," 0.1","  1.0","  1.6","  3.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.413793103448","0.450000000000","0.465517241379","0.333333333333","0.80000000000"
"771","Terry Rozier"," 1988520","BOS","6'2""","190","Louisville","USA","2015","1","16","   2.6","2018","PG","23","80","16","  25.9","  4.0"," 10.0","  1.9","  5.0","  2.0","  5.0","  1.4","  1.9"," 0.8","  3.9","  4.7","  2.9"," 1.0"," 0.2","  1.0","  1.5"," 11.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.400000000000","0.400000000000","0.495000000000","0.380000000000","0.73684210526"
"772","Luke Babbitt"," 1974159","MIA","6'9""","225","Nevada","USA","2010","1","16","  -2.1","2018","SF","28","50","14","  14.3","  1.8","  4.3","  1.2","  3.1","  0.6","  1.2","  0.3","  0.4"," 0.1","  1.8","  1.9","  0.6"," 0.2"," 0.1","  0.4","  1.1","  5.2"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.418604651163","0.500000000000","0.558139534884","0.387096774194","0.75000000000"
"773","John Collins"," 1936920","ATL","6'10""","235","Wake Forest","USA","2017","1","19","  -6.2","2018","PF","20","74","26","  24.1","  4.2","  7.4","  0.2","  0.6","  4.0","  6.7","  1.8","  2.5"," 2.4","  4.9","  7.3","  1.3"," 0.6"," 1.1","  1.4","  2.9"," 10.5"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.567567567568","0.597014925373","0.581081081081","0.333333333333","0.72000000000"
"774","Shabazz Muhammad"," 1924755","MIL","6'6","221","UCLA","USA","2013","1","14"," -13.6","2018","SF-SG","25","43"," 2","   9.7","  2.0","  4.4","  0.2","  0.6","  1.8","  3.7","  0.9","  1.2"," 0.5","  1.2","  1.8","  0.3"," 0.2"," 0.1","  0.1","  0.7","  5.0"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.454545454545","0.486486486486","0.477272727273","0.333333333333","0.75000000000"
"775","Troy Williams"," 1842176","NYK","6'7""","218","Indiana","USA","Undrafted","Undrafted","Undrafted","  -4.1","2018","SF","23","21"," 1","  14.6","  2.4","  5.2","  0.5","  1.8","  1.9","  3.4","  1.0","  1.4"," 1.0","  2.0","  3.0","  0.8"," 1.0"," 0.2","  0.9","  1.6","  6.3"," 2.1","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.461538461538","0.558823529412","0.509615384615","0.277777777778","0.71428571429"
