"","name","salary","team","height(ft)","weight(lb)","school","country","draft_year","draft_round","draft_number","+/-","player_year","position","age","games","started","mins/game","field_goal","field_goal_attempt","3_game","3_att","2_game","2_att","freethrows","free_throw_attempt","o_rebound","d_rebound","t_rebound","assist","steal","block","turnover","fouls","ppg","infl","mvp","mip","6_man","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","fg_per","two_per","efg","three_per","free_per"
"13","Al Horford","28928710","BOS","6'10""","245","Florida","Dominican Rep...","2007","1","3","   3.6","2019","C","32","22","22","  30.0","  5.1"," 10.4","  1.3","  3.7","  3.8","  6.6","  1.0","  1.4"," 1.5","  4.8","  6.4","  3.4"," 0.8"," 1.7","  1.5","  1.9"," 12.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","0.490384615385","0.575757575758","0.552884615385","0.351351351351","0.71428571429"
"14","Damian Lillard","27977689","POR","6'3""","195","Weber State","USA","2012","1","6","   3.0","2019","PG","28","27","27","  35.3","  8.9"," 20.0","  3.0","  8.1","  5.9"," 11.9","  6.6","  7.4"," 0.8","  4.3","  5.1","  6.2"," 0.8"," 0.4","  2.6","  1.7"," 27.5"," 2.5","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO","0.445000000000","0.495798319328","0.520000000000","0.370370370370","0.89189189189"
"15","Carmelo Anthony","27928140","HOU","6'8""","240","Syracuse","USA","2003","1","3","  -9.0","2019","PF","34","10"," 2","  29.4","  4.9"," 12.1","  2.1","  6.4","  2.8","  5.7","  1.5","  2.2"," 0.9","  4.5","  5.4","  0.5"," 0.4"," 0.7","  0.8","  3.2"," 13.4"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.404958677686","0.491228070175","0.491735537190","0.328125000000","0.68181818182"
"16","DeMar DeRozan","27739975","SAS","6'7""","220","Southern California","USA","2009","1","9","  -1.5","2019","SG","29","28","28","  35.4","  9.1"," 18.9","  0.2","  1.3","  8.9"," 17.6","  5.7","  6.7"," 0.8","  4.9","  5.6","  6.2"," 1.0"," 0.5","  2.5","  2.2"," 24.1"," 2.5","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","0.481481481481","0.505681818182","0.486772486772","0.153846153846","0.85074626866"
"17","Jrue Holiday","26131111","NOP","6'4""","205","UCLA","USA","2009","1","17","   5.4","2019","SG","28","29","29","  36.7","  7.9"," 16.4","  1.4","  4.8","  6.4"," 11.6","  3.3","  4.4"," 1.1","  3.2","  4.3","  8.8"," 1.8"," 0.7","  3.8","  2.4"," 20.5"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","YES","NO","0.481707317073","0.551724137931","0.524390243902","0.291666666667","0.75000000000"
"18","Otto Porter Jr","26011913","WAS","6'8""","198","Georgetown","USA","2013","1","3","  -1.7","2019","SF","25","25","25","  29.5","  4.6","  9.5","  1.4","  3.8","  3.2","  5.7","  1.0","  1.3"," 1.0","  4.7","  5.6","  2.0"," 1.5"," 0.6","  0.9","  1.5"," 11.7"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.484210526316","0.561403508772","0.557894736842","0.368421052632","0.76923076923"
"19","CJ McCollum","25759766","POR","6'3""","190","Lehigh","USA","2013","1","10","   3.4","2019","SG","27","26","26","  34.5","  8.4"," 18.0","  2.1","  6.0","  6.3"," 12.0","  2.4","  2.9"," 1.0","  2.8","  3.8","  2.5"," 0.8"," 0.3","  1.7","  2.5"," 21.3"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.466666666667","0.525000000000","0.525000000000","0.350000000000","0.82758620690"
"20","Nikola Jokic","25467250","DEN","7'0""","250","None","Serbia","2014","2","41","   7.2","2019","C","23","27","27","  30.4","  6.2"," 13.0","  1.0","  3.4","  5.2","  9.6","  3.7","  4.4"," 2.5","  7.3","  9.8","  7.6"," 1.4"," 0.7","  2.7","  3.0"," 17.1"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.476923076923","0.541666666667","0.515384615385","0.294117647059","0.84090909091"
"21","Joel Embiid","25467250","PHI","7'0""","250","Kansas","Cameroon","2014","1","3","   7.2","2019","C","24","27","27","  34.3","  8.5"," 18.5","  1.2","  4.1","  7.3"," 14.4","  8.1"," 10.3"," 2.2"," 10.9"," 13.1","  3.6"," 0.5"," 2.0","  3.1","  3.4"," 26.3"," 2.5","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","0.459459459459","0.506944444444","0.491891891892","0.292682926829","0.78640776699"
"22","Andrew Wiggins","25467250","MIN","6'8""","194","Kansas","Canada","2014","1","1","   0.2","2019","SF","23","23","23","  33.0","  6.0"," 15.3","  1.9","  5.0","  4.1"," 10.3","  2.1","  3.0"," 0.7","  3.2","  3.9","  2.2"," 1.3"," 0.7","  1.7","  2.0"," 16.0"," 2.5","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","0.392156862745","0.398058252427","0.454248366013","0.380000000000","0.70000000000"
