"","name","salary","team","height_ft","weight_lb","school","country","DraftYear","DraftRound","DraftNum","PlusMinus","PlayerYear","Pos","Age","Games","started","MinGames","FG","FG_att","three","three_att","two","two_att","FT","FT_att","o_reb","d_reb","t_reb","assist","steal","block","TO","fouls","ppg","infl","mvp","mip","SixthMan","dpoy","roy","nba1","nba2","nba3","rook1","rook2","def1","def2","FG_per","two_per","EFG","three_per","FT_per","TeamWins","NumYears"
"1773","JaKarr Sampson",507336,"PHI","6'9""",214,"St. John's (NY)","USA","Undrafted","Undrafted","Undrafted",-13.2,2015,"SF",21,74,32,15.3,2,4.7,0.4,1.7,1.6,3,0.9,1.3,0.5,1.7,2.2,1,0.5,0.4,1,1.8,5.2,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4255319,0.5333333,0.4680851,0.2352941,0.6923077,18,3
"1774","Joe Ingles",507336,"UTA","6'8""",216,"None","Australia","Undrafted","Undrafted","Undrafted",-1.8,2015,"SF",27,79,32,21.2,1.9,4.5,0.9,2.6,0.9,1.9,0.4,0.5,0.3,1.9,2.2,2.3,0.9,0.1,1.2,1.6,5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4222222,0.4736842,0.5222222,0.3461538,0.8,38,4
"1775","AJ Price",493917,"CLE","6'2""",195,"Connecticut","USA","2009","2","52",-10.6,2015,"PG",28,26,0,12.5,2,5.3,0.6,2.2,1.4,3.1,0.6,0.9,0.2,1,1.2,1.8,0.3,0,0.5,0.6,5.1,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3773585,0.4516129,0.4339623,0.2727273,0.6666667,53,5
"1776","Reggie Williams",487905,"SAS","6'6",205,"Virginia Military Institute","USA","Undrafted","Undrafted","Undrafted",-20.4,2015,"SF",28,20,0,5.3,0.8,2,0.2,1,0.6,1,0.2,0.2,0.3,0.6,0.9,0.5,0.1,0,0.1,0.6,1.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.6,0.45,0.2,1,55,5
"1777","Quincy Miller",398393,"DET","6'9""",210,"Baylor","USA","2012","2","38",17.6,2015,"PF",22,10,0,11.9,0.9,3.8,0.3,1.8,0.6,2,0.8,1.1,0.4,1.6,2,0.8,0.7,0.5,0.5,0.9,2.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2368421,0.3,0.2763158,0.1666667,0.7272727,32,2
"1778","Lorenzo Brown",390082,"MIN","6'5""",189,"North Carolina State","USA","2013","2","52",-7.7,2015,"PG",24,29,7,18.9,1.8,4.2,0.2,1,1.6,3.2,0.4,0.7,0.5,1.9,2.4,3.1,1,0.2,1,1.7,4.2,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.5,0.452381,0.2,0.5714286,16,4
"1779","Earl Barron",390063,"PHO","7'0""",250,"Memphis","USA","Undrafted","Undrafted","Undrafted",-16.8,2015,"C",33,16,1,8.9,0.8,2.4,0.1,0.3,0.6,2.2,0.4,0.8,0.9,0.9,1.8,0.3,0.3,0.1,0.3,1.6,2,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3333333,0.2727273,0.3541667,0.3333333,0.5,39,6
"1780","Michael Beasley",330225,"MIA","6'10""",235,"Kansas State","USA","2008","1","2",0.9,2015,"PF",26,24,1,21,3.8,8.8,0.3,1.4,3.5,7.4,0.8,1.1,0.5,3.2,3.7,1.3,0.6,0.5,1.5,2.8,8.8,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4318182,0.472973,0.4488636,0.2142857,0.7272727,37,10
"1781","Henry Walker",311634,"MIA","6'6",235,"Kansas State","USA","2008","2","47",0,2015,"SF",27,24,13,26.2,2.4,7,1.9,5.5,0.5,1.5,0.6,0.8,0.3,3.1,3.4,1.2,1,0.4,1,3.2,7.3,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3428571,0.3333333,0.4785714,0.3454545,0.75,37,5
"1782","Elijah Millsap",301417,"UTA","6'6",215,"Alabama-Birmingham","USA","Undrafted","Undrafted","Undrafted",3.3,2015,"SG",27,47,5,19.7,1.7,5.1,0.6,1.9,1.1,3.1,1.2,1.8,0.6,2.6,3.2,1.2,1.2,0.3,1.4,2.6,5.3,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3333333,0.3548387,0.3921569,0.3157895,0.6666667,38,2
"1783","Langston Galloway",295455,"NYK","6'2""",200,"Saint Joseph's","USA","Undrafted","Undrafted","Undrafted",-9.1,2015,"PG",23,45,41,32.4,4.5,11.4,1.4,3.9,3.2,7.4,1.4,1.7,0.8,3.4,4.2,3.3,1.2,0.3,1.4,2.9,11.8,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3947368,0.4324324,0.4561404,0.3589744,0.8235294,17,4
"1784","Tyler Johnson",280526,"MIA","6'3""",190,"Fresno State","USA","Undrafted","Undrafted","Undrafted",-4.9,2015,"SG",22,32,2,18.8,2.2,5.2,0.6,1.5,1.6,3.7,1,1.5,0.4,2.1,2.5,1.3,1,0.3,0.9,1.3,5.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4230769,0.4324324,0.4807692,0.4,0.6666667,37,4
"1785","Toney Douglas",268973,"NOP","6'2""",195,"Florida State","USA","2009","1","29",2.7,2015,"SG",28,12,0,14.8,1.6,4.3,0.4,1.5,1.2,2.8,0.7,1.1,0.2,1.7,1.8,2,0.9,0.3,0.8,1.7,4.3,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.372093,0.4285714,0.4186047,0.2666667,0.6363636,45,8
"1786","JaMychal Green",244712,"MEM","6'8""",230,"Alabama","USA","Undrafted","Undrafted","Undrafted",-6.7,2015,"PF",24,24,1,6.8,1.1,2,0,0.3,1.1,1.7,0.3,0.4,0.8,1.1,1.9,0.2,0.2,0.2,0.6,1,2.6,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.55,0.6470588,0.55,0,0.75,55,4
"1787","Shannon Brown",215811,"MIA","6'3""",215,"Michigan State","USA","2006","1","25",-8.7,2015,"SG",29,5,2,17.8,1.4,3.8,0.6,1.4,0.8,2.4,0.6,0.8,0,0.2,0.2,0.6,0.8,0,0.8,1.6,4,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3684211,0.3333333,0.4473684,0.4285714,0.75,37,9
"1788","Elliot Williams",161511,"PHI","6'5""",190,"Memphis","USA","2010","1","22",5,2015,"SG",25,13,0,9.2,1.1,2.8,0.6,1.4,0.5,1.5,0.1,0.3,0,0.6,0.6,0.9,0.3,0,0.3,0.9,2.8,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3928571,0.3333333,0.5,0.4285714,0.3333333,18,4
"1789","Bryce Cotton",152200,"UTA","6'1""",165,"Providence","USA","Undrafted","Undrafted","Undrafted",-2,2015,"PG",22,15,0,10.6,1.9,4.6,0.5,1.3,1.5,3.3,1,1.2,0.2,1,1.2,1,0.3,0,0.8,0.4,5.3,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4130435,0.4545455,0.4673913,0.3846154,0.8333333,38,1
"1790","Jack Cooley",152199,"UTA","6'9""",246,"Notre Dame","USA","Undrafted","Undrafted","Undrafted",-3.1,2015,"C",23,16,0,5.4,0.6,1.4,0,0,0.6,1.4,0.6,1.3,0.6,0.9,1.6,0.1,0.4,0.2,0.2,1.4,1.7,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.4285714,0.4285714,NA,0.4615385,38,2
"1791","Earl Clark",125104,"BRK","6'10""",234,"Louisville","USA","2009","1","14",-11.8,2015,"PF",27,10,0,9.3,1.1,3,0.4,1.4,0.7,1.6,0.1,0.4,0.1,2.2,2.3,0.3,0.3,0.4,0.6,1.2,2.7,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3666667,0.4375,0.4333333,0.2857143,0.25,38,6
"1792","Lester Hudson",111548,"LAC","6'3""",190,"Tennessee-Martin","USA","2009","2","58",-8.1,2015,"SG",30,5,0,11.2,1.2,2.8,0.6,1.2,0.6,1.6,0.6,0.8,0.2,1.4,1.6,1,1.2,0.2,0.6,0.8,3.6,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.375,0.5357143,0.5,0.75,56,3
"1793","Tim Frazier",107435,"POR","6'1""",170,"None","USA","Undrafted","Undrafted","Undrafted",-2,2015,"PG",24,11,3,21.7,1.9,5.5,0.5,1.5,1.5,4,0.9,1.9,0.5,2,2.5,5.5,0.7,0,2.3,2.4,5.2,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3454545,0.375,0.3909091,0.3333333,0.4736842,51,4
"1794","Will Cherry",106567,"TOR","6'0""",185,"Montana","USA","Undrafted","Undrafted","Undrafted",-2.1,2015,"PG",23,8,0,8.6,0.6,2.4,0.3,1.1,0.4,1.3,0.4,0.8,0.1,0.5,0.6,1,0.8,0.1,0.5,1.3,1.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.25,0.3076923,0.3125,0.2727273,0.5,49,1
"1795","Drew Gordon",73657,"PHI","6'9""",245,"New Mexico","USA","Undrafted","Undrafted","Undrafted",-20,2015,"PF",24,9,0,7.9,0.9,2.1,0,0.3,0.9,1.8,0.1,0.2,0.8,1.2,2,0.2,0.1,0,0.9,0.8,1.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4285714,0.5,0.4285714,0,0.5,18,1
"1796","Jerel McNeal",59686,"PHO","6'3""",200,"Marquette","USA","Undrafted","Undrafted","Undrafted",-7.7,2015,"PG",27,6,0,6,0.5,1.8,0.2,0.3,0.3,1.5,0.3,0.3,0,0.5,0.5,0.3,0.5,0.2,0.8,0.8,1.5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2777778,0.2,0.3333333,0.6666667,1,39,1
"1797","Dwight Buycks",48028,"LAL","6'3""",190,"Marquette","USA","Undrafted","Undrafted","Undrafted",-7.3,2015,"PG",25,6,0,20.5,3,6.7,1.2,1.8,1.8,4.8,1.5,1.7,0.3,1.7,2,2.3,0.5,0,2,0.5,8.7,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4477612,0.375,0.5373134,0.6666667,0.8823529,21,3
"1798","Arinze Onuaku",48028,"MIN","6'9""",275,"Syracuse","USA","Undrafted","Undrafted","Undrafted",-10.4,2015,"C",27,6,1,11.3,2,2.3,0,0,2,2.3,0.5,1.3,1.2,2.3,3.5,0.7,0.2,0.5,0.3,1,4.5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.8695652,0.8695652,0.8695652,NA,0.3846154,16,1
"1799","Amar'e Stoudemire",485670,"DAL","6'10""",245,"None","USA","2002","1","9",-1.7,2015,"PF",32,59,15,21.1,4.6,8.3,0,0.1,4.6,8.2,2.3,3.2,1.9,3.7,5.6,0.8,0.5,0.6,1.3,2.7,11.5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5542169,0.5609756,0.5542169,0,0.71875,50,10
"1800","Chris Johnson",166897,"UTA","6'6",201,"Dayton","USA","Undrafted","Undrafted","Undrafted",-3,2015,"SF",24,29,2,18.1,2.1,5.3,1,3.3,1.2,2,0.5,0.6,0.3,1.6,1.9,0.5,0.9,0.2,0.5,1.5,5.7,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3962264,0.6,0.490566,0.3030303,0.8333333,38,6
"1801","Dennis Schroder",1690680,"ATL","6'1""",168,"None","Germany","2013","1","17",0.1,2015,"PG",21,77,10,19.7,3.7,8.6,0.7,1.9,3,6.7,1.9,2.3,0.4,1.8,2.1,4.1,0.6,0.1,1.9,1.6,10,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4302326,0.4477612,0.4709302,0.3684211,0.826087,60,5
"1802","Glen Rice Jr",400000,"WAS","6'6",206,"Georgia Tech","USA","2013","2","35",-28.5,2015,"SG",24,5,0,8.6,0.6,3,0.2,1.4,0.4,1.6,0.8,1.2,0.4,0.4,0.8,0.4,0,0,0.4,2.2,2.2,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.2,0.25,0.2333333,0.1428571,0.6666667,46,2
"1803","Hedo Turkoglu",1448490,"LAC","6'10""",220,"None","Turkey","2000","1","16",2,2015,"SF",35,62,2,11.4,1.3,3,1,2.2,0.4,0.8,0.1,0.2,0.1,1.5,1.6,0.6,0.3,0.1,0.5,1.1,3.7,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4333333,0.5,0.6,0.4545455,0.5,56,12
"1804","Ish Smith",981084,"PHI","6'0""",175,"Wake Forest","USA","Undrafted","Undrafted","Undrafted",-5.7,2015,"PG",26,55,14,15.1,2.6,6.7,0.3,1.1,2.3,5.6,0.6,1,0.3,1.5,1.8,3.3,0.7,0.1,1.4,0.9,6.1,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3880597,0.4107143,0.4104478,0.2727273,0.6,18,8
"1805","JJ Barea",1310286,"DAL","6'0""",185,"Northeastern","Puerto Rico","Undrafted","Undrafted","Undrafted",4.8,2015,"PG",30,77,10,17.7,2.9,7,0.7,2.2,2.2,4.8,1,1.2,0.3,1.4,1.7,3.4,0.4,0,0.9,1.4,7.5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4142857,0.4583333,0.4642857,0.3181818,0.8333333,50,9
"1806","James Ennis III",507336,"MIA","6'7""",208,"Long Beach State","USA","2013","2","50",-0.6,2015,"SF",24,62,3,17,1.6,4,0.5,1.5,1.1,2.5,1.3,1.5,0.8,2,2.8,0.8,0.4,0.3,0.6,1.4,5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.44,0.4625,0.3333333,0.8666667,37,4
"1807","John Lucas III",123827,"DET","5'11""",166,"Oklahoma State","USA","Undrafted","Undrafted","Undrafted",-9.5,2015,"PG",32,21,0,13,2,5,0.4,1.4,1.6,3.6,0.2,0.2,0.2,0.6,0.8,2.9,0.4,0,0.8,0.9,4.7,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.4444444,0.44,0.2857143,1,32,6
"1808","Johnny O'Bryant III",600000,"MIL","6'9""",265,"Louisiana State","USA","2014","2","36",-13.6,2015,"PF",21,34,15,10.8,1.3,3.5,0,0,1.3,3.5,0.4,0.8,0.8,1.1,1.9,0.5,0.1,0.1,0.7,1.3,2.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3714286,0.3714286,0.3714286,NA,0.5,41,4
"1809","Lou Amundson",409167,"NYK","6'9""",225,"Nevada-Las Vegas","USA","Undrafted","Undrafted","Undrafted",-7.1,2015,"PF",32,53,35,17.7,2.1,4.8,0,0,2.1,4.8,0.8,1.6,1.8,3.3,5.1,1.3,0.4,1,1.2,2.4,4.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4375,0.4375,0.4375,NA,0.5,17,6
"1810","Lou Williams",5450000,"TOR","6'1""",175,"None","USA","2005","2","45",6.6,2015,"SG",28,80,0,25.2,4.7,11.6,1.9,5.6,2.8,6,4.3,4.9,0.3,1.6,1.9,2.1,1.1,0.1,1.3,1.3,15.5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4051724,0.4666667,0.487069,0.3392857,0.877551,49,9
"1811","Maurice Harkless",1887840,"ORL","6'9""",215,"St. John's (NY)","USA","2012","1","15",-6.8,2015,"SF",21,45,4,15,1.4,3.5,0.2,1.2,1.2,2.3,0.5,0.9,0.8,1.5,2.4,0.6,0.7,0.2,0.6,1.5,3.5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4,0.5217391,0.4285714,0.1666667,0.5555556,25,6
"1812","Mo Williams",3750000,"CHO","6'1""",198,"Alabama","USA","2003","2","47",-3,2015,"PG",32,68,33,29.1,5,12.6,1.8,5.1,3.3,7.5,2.4,2.8,0.3,2.2,2.6,6.2,0.7,0.2,2.5,2.4,14.2,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3968254,0.44,0.468254,0.3529412,0.8571429,NA,10
"1813","Patty Mills",3842105,"SAS","6'0""",185,"Saint Mary's (CA)","Australia","2009","2","55",9.3,2015,"PG",26,51,0,15.7,2.5,6.6,1.2,3.6,1.3,3,0.6,0.8,0.4,1.1,1.5,1.7,0.5,0,0.7,1.1,6.9,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3787879,0.4333333,0.469697,0.3333333,0.75,55,7
"1814","Perry Jones III",1129200,"OKC","6'11""",235,"Baylor","USA","2012","1","28",-10.5,2015,"SF",23,43,13,14.7,1.7,4.3,0.3,1.4,1.4,2.9,0.6,0.9,0.1,1.6,1.8,0.4,0.4,0.2,0.6,1.2,4.3,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3953488,0.4827586,0.4302326,0.2142857,0.6666667,45,3
"1815","Luigi Datome",1750000,"DET","6'8""",215,"None","Italy","undrafted","undrafted","undrafted",3.2,2015,"SF",27,21,1,10,2,4.2,0.9,1.9,1.2,2.3,0,0,0.1,1.2,1.4,0.4,0.1,0.3,0.4,0.7,5,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4761905,0.5217391,0.5833333,0.4736842,NA,32,2
"1816","Larry Drew",59686,"PHI","6'2""",180,"UCLA","USA","undrafted","undrafted","undrafted",-6.1,2015,"PG",24,12,1,18.3,1.7,4.8,0.3,2.2,1.3,2.7,0.2,0.3,0.1,1.2,1.3,3.8,0.5,0,2.1,1.1,3.8,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3541667,0.4814815,0.3854167,0.1363636,0.6666667,18,1
"1817","Glenn Robinson III III",507336,"MIN","6'6",222,"Michigan","USA","2014","2","40",0.8,2015,"SG-SF",21,35,1,7.5,0.7,1.9,0.1,0.5,0.6,1.4,0.5,0.7,0.4,0.7,1.1,0.3,0.2,0,0.3,0.4,2.1,1.6,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3684211,0.4285714,0.3947368,0.2,0.7142857,16,1
"1818","Kobe Bryant",30453000,"LAL","6'6",205,"None","USA","1996","1","13",-7.4,2014,"SG",35,6,6,29.5,5.2,12.2,0.5,2.7,4.7,9.5,3,3.5,0.3,4,4.3,6.3,1.2,0.2,5.7,1.5,13.8,1.5,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.4262295,0.4947368,0.4467213,0.1851852,0.8571429,27,17
"1819","Dirk Nowitzki",22721381,"DAL","7'0""",245,"None","Germany","1998","1","9",6,2014,"PF",35,80,80,32.9,7.9,15.9,1.6,4.1,6.3,11.8,4.2,4.7,0.5,5.7,6.2,2.7,0.9,0.6,1.5,2.1,21.7,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4968553,0.5338983,0.5471698,0.3902439,0.893617,49,19
"1820","Carmelo Anthony",21490000,"NYK","6'8""",235,"Syracuse","USA","2003","1","3",1.6,2014,"PF",29,77,77,38.7,9.6,21.3,2.2,5.4,7.5,15.9,6,7,1.9,6.2,8.1,3.1,1.2,0.7,2.6,2.9,27.4,1.5,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO",0.4507042,0.4716981,0.5023474,0.4074074,0.8571429,37,15
"1821","Joe Johnson",21466718,"BRK","6'7""",240,"Arkansas","USA","2001","1","10",0.7,2014,"SG",32,79,79,32.6,5.8,12.9,2.1,5.1,3.8,7.8,2,2.5,0.6,2.8,3.4,2.7,0.6,0.1,1.5,1.6,15.8,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4496124,0.4871795,0.5310078,0.4117647,0.8,44,17
"1822","Dwight Howard",20513178,"HOU","6'11""",265,"None","USA","2004","1","1",7.2,2014,"C",28,71,71,33.7,6.7,11.3,0,0.1,6.6,11.2,4.9,9,3.3,8.9,12.2,1.8,0.8,1.8,3.2,3.4,18.3,1.5,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.5929204,0.5892857,0.5929204,0,0.5444444,54,14
"1823","Pau Gasol",19285850,"LAL","7'0""",250,"None","Spain","2001","1","3",-8.6,2014,"C",33,60,60,31.4,7.1,14.8,0.1,0.2,7,14.5,3.1,4.2,2.1,7.6,9.7,3.4,0.5,1.5,2.4,2.1,17.4,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4797297,0.4827586,0.4831081,0.5,0.7380952,27,17
"1824","Chris Bosh",19067500,"MIA","6'11""",235,"Georgia Tech","USA","2003","1","4",9,2014,"C",29,79,79,32,6.2,12.1,0.9,2.8,5.3,9.3,2.8,3.4,1.2,5.4,6.6,1.1,1,1,1.6,2.4,16.2,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.5123967,0.5698925,0.5495868,0.3214286,0.8235294,54,13
"1825","LeBron James",19067500,"MIA","6'8""",250,"None","USA","2003","1","1",7.2,2014,"PF",29,77,77,37.7,10,17.6,1.5,4,8.5,13.6,5.7,7.6,1.1,5.9,6.9,6.3,1.6,0.3,3.5,1.6,27.1,1.5,"YES","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO",0.5681818,0.625,0.6107955,0.375,0.75,54,15
"1826","Kevin Durant",18773176,"OKC","6'9""",240,"Texas","USA","2007","1","2",8.2,2014,"SF",25,81,81,38.5,10.5,20.8,2.4,6.1,8.1,14.8,8.7,9.9,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32,1.5,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO","NO",0.5048077,0.5472973,0.5625,0.3934426,0.8787879,59,11
"1827","Chris Paul",18668431,"LAC","6'0""",175,"Wake Forest","USA","2005","1","4",11.7,2014,"PG",28,62,62,35,6.5,14,1.3,3.4,5.3,10.6,4.8,5.6,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1,1.5,"NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","YES","NO",0.4642857,0.5,0.5107143,0.3823529,0.8571429,57,13
"1828","Dwyane Wade",18536000,"MIA","6'4""",220,"Marquette","USA","2003","1","5",4.2,2014,"SG",32,54,53,32.9,7.7,14.1,0.2,0.6,7.5,13.5,3.5,4.8,1.1,3.4,4.5,4.7,1.5,0.5,3,2,19,1.5,"NO","NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO",0.5460993,0.5555556,0.5531915,0.3333333,0.7291667,54,15
"1829","Deron Williams",18466130,"BRK","6'3""",209,"Illinois","USA","2005","1","3",4.4,2014,"PG",29,64,58,32.2,5,11.2,1.5,4.2,3.5,7,2.7,3.4,0.2,2.4,2.6,6.1,1.5,0.2,2.2,2.3,14.3,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4464286,0.5,0.5133929,0.3571429,0.7941176,44,12
"1830","Rudy Gay",17888932,"SAC","6'8""",230,"Connecticut","USA","2006","1","8",-0.9,2014,"SF",27,73,73,34.7,7.4,16.2,0.9,2.7,6.5,13.5,4.4,5.3,1.5,4.4,6,2.9,1.3,0.8,3.1,2.3,20,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4567901,0.4814815,0.4845679,0.3333333,0.8301887,28,12
"1831","Zach Randolph",17800000,"MEM","6'9""",260,"Michigan State","USA","2001","1","19",3.3,2014,"PF",32,79,79,34.2,7.1,15.2,0,0.3,7.1,14.9,3.2,4.3,3.4,6.7,10.1,2.5,0.7,0.3,2.3,2.7,17.4,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4671053,0.4765101,0.4671053,0,0.744186,50,17
"1832","Derrick Rose",17632688,"CHI","6'3""",190,"Memphis","USA","2008","1","1",-6,2014,"PG",25,10,10,31.1,5.8,16.4,1.6,4.7,4.2,11.7,2.7,3.2,0.9,2.3,3.2,4.3,0.5,0.1,3.4,1.5,15.9,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.3536585,0.3589744,0.402439,0.3404255,0.84375,48,9
"1833","Blake Griffin",16402500,"LAC","6'10""",251,"Oklahoma","USA","2009","1","1",10.1,2014,"PF",24,80,80,35.8,9,17,0.2,0.6,8.8,16.4,6,8.4,2.4,7.1,9.5,3.9,1.2,0.6,2.8,3.3,24.1,1.5,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO",0.5294118,0.5365854,0.5352941,0.3333333,0.7142857,57,8
"1834","Paul Pierce",15333334,"BRK","6'7""",235,"Kansas","USA","1998","1","10",1.7,2014,"SF",36,75,68,28,4.3,9.5,1.5,4,2.8,5.5,3.4,4.1,0.3,4.3,4.6,2.4,1.1,0.4,2,2.5,13.5,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4526316,0.5090909,0.5315789,0.375,0.8292683,44,18
"1835","Carlos Boozer",15300000,"CHI","6'9""",266,"Duke","USA","2002","2","34",-0.8,2014,"PF",32,76,76,28.2,5.9,12.9,0,0,5.9,12.9,1.9,2.5,1.8,6.5,8.3,1.6,0.7,0.3,2,2.8,13.7,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4573643,0.4573643,0.4573643,NA,0.76,48,13
"1836","Marc Gasol",14860523,"MEM","7'1""",265,"None","Spain","2007","2","48",0.2,2014,"C",29,59,59,33.4,5.7,12.1,0,0.2,5.7,11.9,3.1,4.1,1.4,5.8,7.2,3.6,1,1.3,1.9,2.5,14.6,1.5,"NO","NO","NO","YES","NO","NO","YES","NO","NO","NO","NO","YES",0.4710744,0.4789916,0.4710744,0,0.7560976,50,10
"1837","Brook Lopez",14694000,"BRK","7'0""",275,"Stanford","USA","2008","1","10",-1.7,2014,"C",25,17,17,31.4,7.6,13.5,0,0.1,7.6,13.4,5.5,6.8,2.3,3.7,6,0.9,0.5,1.8,1.6,3.1,20.7,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.562963,0.5671642,0.562963,0,0.8088235,44,10
"1838","Kevin Love",14693906,"MIN","6'10""",243,"UCLA","USA","2008","1","5",5.8,2014,"PF",25,77,77,36.3,8.4,18.5,2.5,6.6,6,11.9,6.8,8.2,2.9,9.6,12.5,4.4,0.8,0.5,2.5,1.8,26.1,1.5,"NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO","NO",0.4540541,0.5042017,0.5216216,0.3787879,0.8292683,40,10
"1839","Russell Westbrook",14693906,"OKC","6'3""",200,"UCLA","USA","2008","1","4",7.4,2014,"PG",25,46,46,30.7,7.5,17.2,1.5,4.7,6,12.5,5.3,6.4,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3,21.8,1.5,"NO","NO","NO","NO","NO","NO","YES","NO","NO","NO","NO","NO",0.4360465,0.48,0.4796512,0.3191489,0.828125,59,10
